CHROM,BIN_START,BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST,best_chick_chr,best_chick_id,orientation,pos,SNP
scaffold66,175001,200000,349,0.00151287,0.00289138,1,3,-1,737501,scaffold66_175001
scaffold66,200001,225000,218,0.0197606,0.00793715,1,3,-1,762501,scaffold66_200001
scaffold66,225001,250000,334,0.00898434,0.00443191,1,3,-1,787501,scaffold66_225001
scaffold66,250001,275000,232,-0.00691182,-0.00398878,1,3,-1,812501,scaffold66_250001
scaffold66,275001,300000,263,-0.00643884,-0.00579128,1,3,-1,837501,scaffold66_275001
scaffold66,300001,325000,239,-0.00711815,-0.00422556,1,3,-1,862501,scaffold66_300001
scaffold66,325001,350000,325,-0.00536225,-0.00536396,1,3,-1,887501,scaffold66_325001
scaffold66,350001,375000,293,-0.00693213,-0.000895574,1,3,-1,912501,scaffold66_350001
scaffold66,375001,400000,270,0.00301989,0.00242077,1,3,-1,937501,scaffold66_375001
scaffold66,400001,425000,276,0.000100131,0.00180566,1,3,-1,962501,scaffold66_400001
scaffold66,425001,450000,250,0.00866096,0.00253324,1,3,-1,987501,scaffold66_425001
scaffold66,450001,475000,268,0.0083081,0.00556469,1,3,-1,1012501,scaffold66_450001
scaffold66,475001,500000,278,0.00359581,0.00254796,1,3,-1,1037501,scaffold66_475001
scaffold66,500001,525000,275,-0.00379118,0.00192033,1,3,-1,1062501,scaffold66_500001
scaffold66,525001,550000,257,-0.00585401,0.000876723,1,3,-1,1087501,scaffold66_525001
scaffold66,550001,575000,404,0.00439299,0.00444986,1,3,-1,1112501,scaffold66_550001
scaffold66,575001,600000,344,-0.00606458,-0.00464807,1,3,-1,1137501,scaffold66_575001
scaffold66,600001,625000,438,-0.00129911,-0.00128447,1,3,-1,1162501,scaffold66_600001
scaffold66,625001,650000,392,-0.00267206,-0.00142293,1,3,-1,1187501,scaffold66_625001
scaffold66,650001,675000,420,0.00250072,0.000210009,1,3,-1,1212501,scaffold66_650001
scaffold66,675001,700000,357,-0.00392644,-0.00143906,1,3,-1,1237501,scaffold66_675001
scaffold66,700001,725000,369,-0.00377529,-0.00105223,1,3,-1,1262501,scaffold66_700001
scaffold66,725001,750000,422,-0.00121289,0.000570947,1,3,-1,1287501,scaffold66_725001
scaffold66,750001,775000,421,0.0018689,0.000830104,1,3,-1,1312501,scaffold66_750001
scaffold66,775001,800000,388,-0.00321774,-0.00212213,1,3,-1,1337501,scaffold66_775001
scaffold66,800001,825000,409,0.000238651,0.0010182,1,3,-1,1362501,scaffold66_800001
scaffold66,825001,850000,301,0.00861484,0.00452495,1,3,-1,1387501,scaffold66_825001
scaffold66,850001,875000,309,-0.00184551,0.00180194,1,3,-1,1412501,scaffold66_850001
scaffold66,875001,900000,261,0.0061165,0.00598077,1,3,-1,1437501,scaffold66_875001
scaffold66,900001,925000,279,0.0140611,0.0102509,1,3,-1,1462501,scaffold66_900001
scaffold66,925001,950000,301,0.00550804,0.00319715,1,3,-1,1487501,scaffold66_925001
scaffold66,950001,975000,351,0.00407536,0.00135728,1,3,-1,1512501,scaffold66_950001
scaffold66,975001,1000000,344,-0.00546115,-0.00179568,1,3,-1,1537501,scaffold66_975001
scaffold66,1000001,1025000,261,-0.00441753,-0.00250886,1,3,-1,1562501,scaffold66_1000001
scaffold66,1025001,1050000,286,-0.00459502,-0.00168168,1,3,-1,1587501,scaffold66_1025001
scaffold66,1050001,1075000,296,0.00907397,0.00359189,1,3,-1,1612501,scaffold66_1050001
scaffold66,1075001,1100000,342,-0.00139373,0.00239503,1,3,-1,1637501,scaffold66_1075001
scaffold66,1100001,1125000,304,0.00286739,-0.00053144,1,3,-1,1662501,scaffold66_1100001
scaffold66,1125001,1150000,297,-0.0033073,-0.00156956,1,3,-1,1687501,scaffold66_1125001
scaffold66,1150001,1175000,311,-0.00143769,-0.00327809,1,3,-1,1712501,scaffold66_1150001
scaffold66,1175001,1200000,298,0.0018927,-0.000720774,1,3,-1,1737501,scaffold66_1175001
scaffold66,1200001,1225000,254,0.00146698,0.000219976,1,3,-1,1762501,scaffold66_1200001
scaffold66,1225001,1250000,230,-0.00537694,-0.0039847,1,3,-1,1787501,scaffold66_1225001
scaffold66,1250001,1275000,261,-0.00494226,-0.00151378,1,3,-1,1812501,scaffold66_1250001
scaffold66,1275001,1300000,276,-0.00607676,-0.00369848,1,3,-1,1837501,scaffold66_1275001
scaffold66,1300001,1325000,246,-0.0065002,-0.00510177,1,3,-1,1862501,scaffold66_1300001
scaffold66,1325001,1350000,284,0.00153167,-0.000388306,1,3,-1,1887501,scaffold66_1325001
scaffold66,1350001,1375000,265,0.00776473,0.00117859,1,3,-1,1912501,scaffold66_1350001
scaffold66,1375001,1400000,304,-0.00260263,-0.00229175,1,3,-1,1937501,scaffold66_1375001
scaffold66,1400001,1425000,285,-0.00292251,-0.00260512,1,3,-1,1962501,scaffold66_1400001
scaffold66,1425001,1450000,304,-0.000738682,-0.00124905,1,3,-1,1987501,scaffold66_1425001
scaffold66,1450001,1475000,314,0.000952705,-0.000180869,1,3,-1,2012501,scaffold66_1450001
scaffold66,1475001,1500000,328,0.00272623,2.96E-05,1,3,-1,2037501,scaffold66_1475001
scaffold66,1500001,1525000,335,-0.00433461,-0.00257124,1,3,-1,2062501,scaffold66_1500001
scaffold66,1525001,1550000,307,-0.0039578,9.03E-05,1,3,-1,2087501,scaffold66_1525001
scaffold66,1550001,1575000,367,-0.00452516,-0.00169715,1,3,-1,2112501,scaffold66_1550001
scaffold66,1575001,1600000,295,-0.00475289,-0.00244397,1,3,-1,2137501,scaffold66_1575001
scaffold66,1600001,1625000,266,0.00090318,-0.000715219,1,3,-1,2162501,scaffold66_1600001
scaffold66,1625001,1650000,312,-0.00564612,-0.00340902,1,3,-1,2187501,scaffold66_1625001
scaffold66,1650001,1675000,375,-0.00200239,-0.00138667,1,3,-1,2212501,scaffold66_1650001
scaffold66,1675001,1700000,392,-0.00333425,-0.00329646,1,3,-1,2237501,scaffold66_1675001
scaffold66,1700001,1725000,334,-0.0040819,-0.00200838,1,3,-1,2262501,scaffold66_1700001
scaffold66,1725001,1750000,327,0.000735419,-0.00103387,1,3,-1,2287501,scaffold66_1725001
scaffold66,1750001,1775000,284,0.0020173,0.000149819,1,3,-1,2312501,scaffold66_1750001
scaffold66,1775001,1800000,392,0.00023582,-0.0011118,1,3,-1,2337501,scaffold66_1775001
scaffold66,1800001,1825000,313,-0.00221839,-0.000720773,1,3,-1,2362501,scaffold66_1800001
scaffold66,1825001,1850000,335,0.0015607,-0.00112218,1,3,-1,2387501,scaffold66_1825001
scaffold66,1850001,1875000,374,-0.00294838,-0.000732926,1,3,-1,2412501,scaffold66_1850001
scaffold66,1875001,1900000,381,-0.000258788,0.000820004,1,3,-1,2437501,scaffold66_1875001
scaffold66,1900001,1925000,335,-0.000165742,-0.00149967,1,3,-1,2462501,scaffold66_1900001
scaffold66,1925001,1950000,325,0.00572592,0.00113656,1,3,-1,2487501,scaffold66_1925001
scaffold66,1950001,1975000,360,-0.000271994,-0.000578811,1,3,-1,2512501,scaffold66_1950001
scaffold66,1975001,2000000,322,0.00145282,0.000163402,1,3,-1,2537501,scaffold66_1975001
scaffold66,2000001,2025000,337,-0.00334917,-0.000883937,1,3,-1,2562501,scaffold66_2000001
scaffold66,2025001,2050000,337,-0.00284928,-0.00103232,1,3,-1,2587501,scaffold66_2025001
scaffold66,2050001,2075000,427,-0.00314952,-0.000305538,1,3,-1,2612501,scaffold66_2050001
scaffold66,2075001,2100000,348,0.000465056,0.0017252,1,3,-1,2637501,scaffold66_2075001
scaffold66,2100001,2125000,315,-0.00119086,-0.000312256,1,3,-1,2662501,scaffold66_2100001
scaffold66,2125001,2150000,310,0.00329748,0.00230194,1,3,-1,2687501,scaffold66_2125001
scaffold66,2150001,2175000,318,-0.0017704,4.58E-05,1,3,-1,2712501,scaffold66_2150001
scaffold66,2175001,2200000,334,0.00324174,0.00434127,1,3,-1,2737501,scaffold66_2175001
scaffold66,2200001,2225000,122,-0.000315081,-0.00242493,1,3,-1,2762501,scaffold66_2200001
scaffold66,2225001,2250000,161,-0.00207331,-8.42E-06,1,3,-1,2787501,scaffold66_2225001
scaffold66,2250001,2275000,336,0.000133118,0.000988345,1,3,-1,2812501,scaffold66_2250001
scaffold66,2275001,2300000,339,-0.000722351,0.00145813,1,3,-1,2837501,scaffold66_2275001
scaffold66,2300001,2325000,390,0.00488046,0.00241373,1,3,-1,2862501,scaffold66_2300001
scaffold66,2325001,2350000,311,0.00369406,0.00142613,1,3,-1,2887501,scaffold66_2325001
scaffold66,2350001,2375000,337,-0.000758973,-0.000328601,1,3,-1,2912501,scaffold66_2350001
scaffold66,2375001,2400000,392,-0.00400821,-0.00088078,1,3,-1,2937501,scaffold66_2375001
scaffold66,2400001,2425000,318,-0.00469307,-0.00386025,1,3,-1,2962501,scaffold66_2400001
scaffold66,2425001,2450000,321,-0.000968246,-0.00214417,1,3,-1,2987501,scaffold66_2425001
scaffold66,2450001,2475000,417,0.0100706,0.0043049,1,3,-1,3012501,scaffold66_2450001
scaffold66,2475001,2500000,378,-0.00101658,-0.000261563,1,3,-1,3037501,scaffold66_2475001
scaffold66,2500001,2525000,352,-0.00102236,0.00156566,1,3,-1,3062501,scaffold66_2500001
scaffold66,2525001,2550000,410,-0.00313839,-0.00143008,1,3,-1,3087501,scaffold66_2525001
scaffold66,2550001,2575000,335,-0.0048366,-0.00175991,1,3,-1,3112501,scaffold66_2550001
scaffold66,2575001,2600000,273,-0.000393361,-0.00110261,1,3,-1,3137501,scaffold66_2575001
scaffold66,2600001,2625000,252,0.0068217,0.00420313,1,3,-1,3162501,scaffold66_2600001
scaffold66,2625001,2650000,329,-0.000290425,-0.000305929,1,3,-1,3187501,scaffold66_2625001
scaffold66,2650001,2675000,296,0.00597596,0.00439318,1,3,-1,3212501,scaffold66_2650001
scaffold66,2675001,2700000,216,-0.00246298,-0.00115727,1,3,-1,3237501,scaffold66_2675001
scaffold66,2700001,2725000,319,-0.000490882,-0.000871141,1,3,-1,3262501,scaffold66_2700001
scaffold66,2725001,2750000,163,-0.00518786,-0.00383123,1,3,-1,3287501,scaffold66_2725001
scaffold66,2750001,2775000,290,-0.00617836,-0.00401789,1,3,-1,3312501,scaffold66_2750001
scaffold66,2775001,2800000,323,0.00526096,0.00195131,1,3,-1,3337501,scaffold66_2775001
scaffold66,2800001,2825000,396,0.00753207,0.00446163,1,3,-1,3362501,scaffold66_2800001
scaffold66,2825001,2850000,383,0.00409664,0.00354324,1,3,-1,3387501,scaffold66_2825001
scaffold66,2850001,2875000,407,-0.000805297,-0.000341874,1,3,-1,3412501,scaffold66_2850001
scaffold66,2875001,2900000,390,-0.00452576,-0.00452081,1,3,-1,3437501,scaffold66_2875001
scaffold66,2900001,2925000,360,-0.000840699,-0.000914886,1,3,-1,3462501,scaffold66_2900001
scaffold66,2925001,2950000,369,-0.00534509,-0.00404959,1,3,-1,3487501,scaffold66_2925001
scaffold66,2950001,2975000,370,-0.00490213,-0.0033975,1,3,-1,3512501,scaffold66_2950001
scaffold66,2975001,3000000,457,0.00304848,0.00221068,1,3,-1,3537501,scaffold66_2975001
scaffold66,3000001,3025000,453,0.000148339,0.00246071,1,3,-1,3562501,scaffold66_3000001
scaffold66,3025001,3050000,403,-0.0033054,-0.00269728,1,3,-1,3587501,scaffold66_3025001
scaffold66,3050001,3075000,479,-0.00119054,-0.00225042,1,3,-1,3612501,scaffold66_3050001
scaffold66,3075001,3100000,482,0.00346281,0.000668316,1,3,-1,3637501,scaffold66_3075001
scaffold66,3100001,3125000,395,-0.0041636,-0.00326777,1,3,-1,3662501,scaffold66_3100001
scaffold66,3125001,3150000,416,-0.00263199,-0.00254649,1,3,-1,3687501,scaffold66_3125001
scaffold66,3150001,3175000,437,-0.00268568,-0.000380161,1,3,-1,3712501,scaffold66_3150001
scaffold66,3175001,3200000,524,2.54E-05,0.00248207,1,3,-1,3737501,scaffold66_3175001
scaffold66,3200001,3225000,420,0.000106664,0.000381179,1,3,-1,3762501,scaffold66_3200001
scaffold66,3225001,3250000,382,-0.0019299,-0.000534716,1,3,-1,3787501,scaffold66_3225001
scaffold66,3250001,3275000,440,0.00207641,-0.00133781,1,3,-1,3812501,scaffold66_3250001
scaffold66,3275001,3300000,449,-0.00221432,-0.00134822,1,3,-1,3837501,scaffold66_3275001
scaffold66,3300001,3325000,366,-0.00514238,-0.00270217,1,3,-1,3862501,scaffold66_3300001
scaffold66,3325001,3350000,343,-0.000708394,0.000254135,1,3,-1,3887501,scaffold66_3325001
scaffold66,3350001,3375000,406,-0.00244857,-0.00150161,1,3,-1,3912501,scaffold66_3350001
scaffold66,3375001,3400000,363,0.000953136,0.000824787,1,3,-1,3937501,scaffold66_3375001
scaffold66,3400001,3425000,375,0.00151106,0.00260038,1,3,-1,3962501,scaffold66_3400001
scaffold66,3425001,3450000,333,-0.00357718,-0.00390122,1,3,-1,3987501,scaffold66_3425001
scaffold66,3450001,3475000,308,-0.00229092,-0.00240188,1,3,-1,4012501,scaffold66_3450001
scaffold66,3475001,3500000,344,-0.000872148,3.67E-05,1,3,-1,4037501,scaffold66_3475001
scaffold66,3500001,3525000,298,-0.000916819,-0.00274395,1,3,-1,4062501,scaffold66_3500001
scaffold66,3525001,3550000,321,-0.00572917,-0.00424971,1,3,-1,4087501,scaffold66_3525001
scaffold66,3550001,3575000,609,-0.00214916,-0.00430514,1,3,-1,4112501,scaffold66_3550001
scaffold66,3575001,3600000,447,-0.00553724,-0.00382993,1,3,-1,4137501,scaffold66_3575001
scaffold66,3600001,3625000,299,-0.00742904,-0.00453699,1,3,-1,4162501,scaffold66_3600001
scaffold66,3625001,3650000,244,-0.00507772,-0.00345024,1,3,-1,4187501,scaffold66_3625001
scaffold66,3650001,3675000,352,-0.00374499,-0.00278033,1,3,-1,4212501,scaffold66_3650001
scaffold66,3675001,3700000,200,-0.0030593,-0.00237223,1,3,-1,4237501,scaffold66_3675001
scaffold66,3700001,3725000,181,-0.00545554,-0.00528359,1,3,-1,4262501,scaffold66_3700001
scaffold66,3725001,3750000,309,-0.00989717,-0.00694287,1,3,-1,4287501,scaffold66_3725001
scaffold66,3750001,3775000,386,-0.00200837,-0.00265305,1,3,-1,4312501,scaffold66_3750001
scaffold66,3775001,3800000,393,-0.00676419,-0.00398304,1,3,-1,4337501,scaffold66_3775001
scaffold66,3800001,3825000,381,-0.00088557,-0.00123459,1,3,-1,4362501,scaffold66_3800001
scaffold66,3825001,3850000,445,0.000924432,-0.000482153,1,3,-1,4387501,scaffold66_3825001
scaffold66,3850001,3875000,362,0.000431056,0.000325307,1,3,-1,4412501,scaffold66_3850001
scaffold66,3875001,3900000,314,0.00945035,0.00605829,1,3,-1,4437501,scaffold66_3875001
scaffold66,3900001,3925000,373,-0.00438395,-0.00144386,1,3,-1,4462501,scaffold66_3900001
scaffold66,3925001,3950000,393,-0.000684237,0.000672851,1,3,-1,4487501,scaffold66_3925001
scaffold66,3950001,3975000,327,-0.00389307,-0.00164302,1,3,-1,4512501,scaffold66_3950001
scaffold66,3975001,4000000,343,0.00559457,0.0030505,1,3,-1,4537501,scaffold66_3975001
scaffold66,4000001,4025000,338,-0.00312678,-0.00291342,1,3,-1,4562501,scaffold66_4000001
scaffold66,4025001,4050000,336,-0.00406421,-0.0011084,1,3,-1,4587501,scaffold66_4025001
scaffold66,4050001,4075000,341,0.000453561,-0.000551635,1,3,-1,4612501,scaffold66_4050001
scaffold66,4075001,4100000,389,0.00100403,-7.87E-05,1,3,-1,4637501,scaffold66_4075001
scaffold66,4100001,4125000,382,-0.00307171,-0.00197801,1,3,-1,4662501,scaffold66_4100001
scaffold66,4125001,4150000,469,0.00169411,0.00171196,1,3,-1,4687501,scaffold66_4125001
scaffold66,4150001,4175000,383,0.00483602,0.00124721,1,3,-1,4712501,scaffold66_4150001
scaffold66,4175001,4200000,395,0.00176452,0.00141337,1,3,-1,4737501,scaffold66_4175001
scaffold66,4200001,4225000,402,0.000525872,0.000873732,1,3,-1,4762501,scaffold66_4200001
scaffold66,4225001,4250000,423,0.000928376,0.00127494,1,3,-1,4787501,scaffold66_4225001
scaffold66,4250001,4275000,430,-0.00138492,-0.000623068,1,3,-1,4812501,scaffold66_4250001
scaffold66,4275001,4300000,429,-0.00346062,-0.00124425,1,3,-1,4837501,scaffold66_4275001
scaffold66,4300001,4325000,453,0.00362757,0.00234943,1,3,-1,4862501,scaffold66_4300001
scaffold66,4325001,4350000,445,0.00305315,0.00129916,1,3,-1,4887501,scaffold66_4325001
scaffold66,4350001,4375000,439,-0.00401117,-0.00312726,1,3,-1,4912501,scaffold66_4350001
scaffold66,4375001,4400000,431,-0.00124391,-0.00171708,1,3,-1,4937501,scaffold66_4375001
scaffold66,4400001,4425000,457,-0.00311246,-0.00279434,1,3,-1,4962501,scaffold66_4400001
scaffold66,4425001,4450000,402,-0.00174139,-0.00177365,1,3,-1,4987501,scaffold66_4425001
scaffold66,4450001,4475000,504,-0.00518295,-0.00327361,1,3,-1,5012501,scaffold66_4450001
scaffold66,4475001,4500000,437,-0.00413871,-0.00252359,1,3,-1,5037501,scaffold66_4475001
scaffold66,4500001,4525000,511,-0.00491435,-0.00300779,1,3,-1,5062501,scaffold66_4500001
scaffold66,4525001,4550000,534,-0.00680735,-0.00466168,1,3,-1,5087501,scaffold66_4525001
scaffold66,4550001,4575000,510,-0.00296481,-0.00298534,1,3,-1,5112501,scaffold66_4550001
scaffold66,4575001,4600000,464,-0.000803678,-0.00269931,1,3,-1,5137501,scaffold66_4575001
scaffold66,4600001,4625000,475,-0.00221147,-0.00204836,1,3,-1,5162501,scaffold66_4600001
scaffold66,4625001,4650000,495,-0.00055219,-0.00201774,1,3,-1,5187501,scaffold66_4625001
scaffold66,4650001,4675000,473,-0.000784304,-0.000553556,1,3,-1,5212501,scaffold66_4650001
scaffold66,4675001,4700000,443,-0.00231335,-0.00162458,1,3,-1,5237501,scaffold66_4675001
scaffold66,4700001,4725000,526,-0.00599147,-0.00485677,1,3,-1,5262501,scaffold66_4700001
scaffold66,4725001,4750000,493,-0.00166821,-0.0013221,1,3,-1,5287501,scaffold66_4725001
scaffold66,4750001,4775000,496,-0.000838512,-0.0016333,1,3,-1,5312501,scaffold66_4750001
scaffold66,4775001,4800000,533,-0.00503645,-0.00405656,1,3,-1,5337501,scaffold66_4775001
scaffold66,4800001,4825000,469,0.00152473,3.83E-05,1,3,-1,5362501,scaffold66_4800001
scaffold66,4825001,4850000,384,-0.00201666,-0.00203406,1,3,-1,5387501,scaffold66_4825001
scaffold66,4850001,4875000,417,0.00180891,0.00121426,1,3,-1,5412501,scaffold66_4850001
scaffold66,4875001,4900000,469,0.000414514,-0.000893227,1,3,-1,5437501,scaffold66_4875001
scaffold66,4900001,4925000,357,0.000530504,0.00165021,1,3,-1,5462501,scaffold66_4900001
scaffold66,4925001,4950000,393,0.00192661,-0.00020103,1,3,-1,5487501,scaffold66_4925001
scaffold66,4950001,4975000,446,0.000846681,0.000345954,1,3,-1,5512501,scaffold66_4950001
scaffold66,4975001,5000000,503,0.000501457,-0.00133435,1,3,-1,5537501,scaffold66_4975001
scaffold66,5000001,5025000,439,0.00317121,-0.000567869,1,3,-1,5562501,scaffold66_5000001
scaffold66,5025001,5050000,507,0.00339878,0.000977448,1,3,-1,5587501,scaffold66_5025001
scaffold66,5050001,5075000,454,0.000934457,-0.000315833,1,3,-1,5612501,scaffold66_5050001
scaffold66,5075001,5100000,536,-0.00517578,-0.00317862,1,3,-1,5637501,scaffold66_5075001
scaffold66,5100001,5125000,421,-0.00423692,-0.00430825,1,3,-1,5662501,scaffold66_5100001
scaffold66,5125001,5150000,528,0.00540333,0.00199455,1,3,-1,5687501,scaffold66_5125001
scaffold66,5150001,5175000,540,-0.00109386,-0.00158389,1,3,-1,5712501,scaffold66_5150001
scaffold66,5175001,5200000,570,-0.00299116,-0.0023858,1,3,-1,5737501,scaffold66_5175001
scaffold66,5200001,5225000,465,-7.49E-05,0.000133711,1,3,-1,5762501,scaffold66_5200001
scaffold66,5225001,5250000,408,-0.0040016,-0.0031191,1,3,-1,5787501,scaffold66_5225001
scaffold66,5250001,5275000,544,0.000108263,-0.00029509,1,3,-1,5812501,scaffold66_5250001
scaffold66,5275001,5300000,617,0.000402068,0.00055112,1,3,-1,5837501,scaffold66_5275001
scaffold66,5300001,5325000,560,-0.00170715,-0.00129105,1,3,-1,5862501,scaffold66_5300001
scaffold66,5325001,5350000,514,-0.00260336,-0.00244118,1,3,-1,5887501,scaffold66_5325001
scaffold66,5350001,5375000,528,0.00124898,0.000938349,1,3,-1,5912501,scaffold66_5350001
scaffold66,5375001,5400000,630,0.000496987,-0.000708464,1,3,-1,5937501,scaffold66_5375001
scaffold66,5400001,5425000,65,0.00971175,0.00426494,1,3,-1,5962501,scaffold66_5400001
scaffold66,5425001,5450000,50,-0.0035266,0.000726971,1,3,-1,5987501,scaffold66_5425001
scaffold66,5450001,5475000,18,-0.0049292,-0.000146443,1,3,-1,6012501,scaffold66_5450001
scaffold66,5475001,5500000,11,0.00188112,-0.00249456,1,3,-1,6037501,scaffold66_5475001
scaffold66,5500001,5525000,33,0.00644745,0.00349312,1,3,-1,6062501,scaffold66_5500001
scaffold66,5525001,5550000,22,0.00697227,0.00530959,1,3,-1,6087501,scaffold66_5525001
scaffold66,5550001,5575000,57,-0.00445692,-0.00395622,1,3,-1,6112501,scaffold66_5550001
scaffold66,5575001,5600000,27,0.0123984,0.00711176,1,3,-1,6137501,scaffold66_5575001
scaffold28,1,25000,2,-0.0197421,-0.0193465,1,4,1,6162501,scaffold28_1
scaffold28,25001,50000,410,-0.00302249,-0.00148495,1,4,1,6187501,scaffold28_25001
scaffold28,50001,75000,444,0.00305156,0.00176404,1,4,1,6212501,scaffold28_50001
scaffold28,75001,100000,407,0.00425686,0.0020507,1,4,1,6237501,scaffold28_75001
scaffold28,100001,125000,413,-0.0081214,-0.00352014,1,4,1,6262501,scaffold28_100001
scaffold28,125001,150000,348,0.00154477,-0.000851412,1,4,1,6287501,scaffold28_125001
scaffold28,150001,175000,364,-0.0023192,-0.00208536,1,4,1,6312501,scaffold28_150001
scaffold28,175001,200000,355,0.00277599,0.00167049,1,4,1,6337501,scaffold28_175001
scaffold28,200001,225000,345,0.00414428,0.00281606,1,4,1,6362501,scaffold28_200001
scaffold28,225001,250000,273,0.00940628,0.00485094,1,4,1,6387501,scaffold28_225001
scaffold28,250001,275000,207,0.00775745,0.00586235,1,4,1,6412501,scaffold28_250001
scaffold28,275001,300000,243,-0.00264164,-0.000810142,1,4,1,6437501,scaffold28_275001
scaffold28,300001,325000,298,0.0039273,0.00244903,1,4,1,6462501,scaffold28_300001
scaffold28,325001,350000,373,-9.15E-05,0.00166709,1,4,1,6487501,scaffold28_325001
scaffold28,350001,375000,346,0.0116303,0.00726257,1,4,1,6512501,scaffold28_350001
scaffold28,375001,400000,384,0.00912295,0.00566509,1,4,1,6537501,scaffold28_375001
scaffold28,400001,425000,347,0.00021793,-0.000697173,1,4,1,6562501,scaffold28_400001
scaffold28,425001,450000,399,0.00367848,0.00330772,1,4,1,6587501,scaffold28_425001
scaffold28,450001,475000,324,0.005641,0.00372131,1,4,1,6612501,scaffold28_450001
scaffold28,475001,500000,315,0.00161716,0.000384304,1,4,1,6637501,scaffold28_475001
scaffold28,500001,525000,355,0.00410958,-0.00052272,1,4,1,6662501,scaffold28_500001
scaffold28,525001,550000,377,0.00146967,0.00175901,1,4,1,6687501,scaffold28_525001
scaffold28,550001,575000,385,0.0008097,-4.11E-05,1,4,1,6712501,scaffold28_550001
scaffold28,575001,600000,359,0.00277463,0.00228855,1,4,1,6737501,scaffold28_575001
scaffold28,600001,625000,358,0.000134822,0.000673918,1,4,1,6762501,scaffold28_600001
scaffold28,625001,650000,384,0.0165088,0.0121919,1,4,1,6787501,scaffold28_625001
scaffold28,650001,675000,300,0.0149636,0.0087844,1,4,1,6812501,scaffold28_650001
scaffold28,675001,700000,375,0.00652247,0.00580752,1,4,1,6837501,scaffold28_675001
scaffold28,700001,725000,352,0.00392755,0.000392954,1,4,1,6862501,scaffold28_700001
scaffold28,725001,750000,298,0.00698443,0.00366131,1,4,1,6887501,scaffold28_725001
scaffold28,750001,775000,285,-0.0028617,-0.00202431,1,4,1,6912501,scaffold28_750001
scaffold28,775001,800000,259,0.00678252,0.00326065,1,4,1,6937501,scaffold28_775001
scaffold28,800001,825000,360,0.00140172,0.00339754,1,4,1,6962501,scaffold28_800001
scaffold28,825001,850000,402,-0.00464685,-0.00194004,1,4,1,6987501,scaffold28_825001
scaffold28,850001,875000,452,0.000854728,0.000948067,1,4,1,7012501,scaffold28_850001
scaffold28,875001,900000,504,-0.006305,-0.00338717,1,4,1,7037501,scaffold28_875001
scaffold28,900001,925000,449,-0.00239211,-0.00128417,1,4,1,7062501,scaffold28_900001
scaffold28,925001,950000,289,0.002435,0.00341463,1,4,1,7087501,scaffold28_925001
