CHROM,BIN_START,N_SNPS,TajimaD,POP,psCHROM,psBIN_START,psN_SNPS,psTajimaD,psPOP
scaffold1,2275000,236,-0.53584,STORM,scaffold1,2275000,302,-0.977839,postSTORM
scaffold1,2300000,258,-0.900625,STORM,scaffold1,2300000,336,-1.38496,postSTORM
scaffold1,2325000,356,-0.965192,STORM,scaffold1,2325000,429,-1.44177,postSTORM
scaffold1,2350000,359,-1.07088,STORM,scaffold1,2350000,430,-1.06327,postSTORM
scaffold1,2375000,294,-0.766975,STORM,scaffold1,2375000,327,-0.702057,postSTORM
scaffold1,2400000,287,-1.16372,STORM,scaffold1,2400000,306,-1.19996,postSTORM
scaffold1,2425000,266,-1.3764,STORM,scaffold1,2425000,277,-1.28488,postSTORM
scaffold1,2450000,179,-0.612809,STORM,scaffold1,2450000,254,-0.88757,postSTORM
scaffold1,2475000,310,-0.81311,STORM,scaffold1,2475000,366,-0.964629,postSTORM
scaffold1,2500000,240,-0.330849,STORM,scaffold1,2500000,290,-0.751253,postSTORM
scaffold1,2525000,306,0.062252,STORM,scaffold1,2525000,345,-0.0699517,postSTORM
scaffold1,2550000,269,-0.744103,STORM,scaffold1,2550000,305,-0.913197,postSTORM
scaffold1,2575000,286,-0.838164,STORM,scaffold1,2575000,322,-0.974188,postSTORM
scaffold1,2600000,257,-0.488228,STORM,scaffold1,2600000,247,-0.231235,postSTORM
scaffold1,2625000,232,-0.517039,STORM,scaffold1,2625000,272,-0.716267,postSTORM
scaffold1,2650000,273,-0.3809,STORM,scaffold1,2650000,306,-0.453717,postSTORM
scaffold1,2675000,254,-0.765406,STORM,scaffold1,2675000,252,-0.657664,postSTORM
scaffold1,2700000,270,-0.431888,STORM,scaffold1,2700000,305,-0.603042,postSTORM
scaffold1,2725000,188,-0.906632,STORM,scaffold1,2725000,215,-0.952818,postSTORM
scaffold1,2750000,219,-0.830238,STORM,scaffold1,2750000,246,-0.971486,postSTORM
scaffold1,2775000,209,-1.03148,STORM,scaffold1,2775000,241,-1.1278,postSTORM
scaffold1,2800000,216,-1.25113,STORM,scaffold1,2800000,265,-1.50087,postSTORM
scaffold1,2825000,249,-0.668938,STORM,scaffold1,2825000,254,-0.546615,postSTORM
scaffold1,2850000,322,-0.139268,STORM,scaffold1,2850000,330,-0.2214,postSTORM
scaffold1,2875000,292,-0.732288,STORM,scaffold1,2875000,318,-0.744144,postSTORM
scaffold1,2900000,248,-0.996191,STORM,scaffold1,2900000,264,-0.606927,postSTORM
scaffold1,2925000,252,-1.1125,STORM,scaffold1,2925000,281,-1.20755,postSTORM
scaffold1,2950000,280,-0.766058,STORM,scaffold1,2950000,307,-0.688924,postSTORM
scaffold1,2975000,271,-0.419706,STORM,scaffold1,2975000,281,-0.405576,postSTORM
scaffold1,3000000,320,-0.567821,STORM,scaffold1,3000000,347,-0.714768,postSTORM
scaffold1,3025000,258,-0.179543,STORM,scaffold1,3025000,285,-0.562769,postSTORM
scaffold1,3050000,273,-0.012479,STORM,scaffold1,3050000,299,-0.385501,postSTORM
scaffold1,3075000,236,-0.659938,STORM,scaffold1,3075000,234,-0.436312,postSTORM
scaffold1,3100000,227,-0.567018,STORM,scaffold1,3100000,236,-0.827446,postSTORM
scaffold1,3125000,262,-0.551791,STORM,scaffold1,3125000,292,-0.639573,postSTORM
scaffold1,3150000,301,-0.275457,STORM,scaffold1,3150000,346,-0.514386,postSTORM
scaffold1,3175000,295,-0.585293,STORM,scaffold1,3175000,298,-0.424712,postSTORM
scaffold1,3200000,316,-0.0647949,STORM,scaffold1,3200000,340,-0.211427,postSTORM
scaffold1,3225000,344,-0.413923,STORM,scaffold1,3225000,360,-0.45734,postSTORM
scaffold1,3250000,302,-0.501409,STORM,scaffold1,3250000,378,-0.942261,postSTORM
scaffold1,3275000,285,-0.222356,STORM,scaffold1,3275000,312,-0.270522,postSTORM
scaffold1,3300000,397,-0.477368,STORM,scaffold1,3300000,415,-0.0947751,postSTORM
scaffold1,3325000,346,-0.32469,STORM,scaffold1,3325000,391,-0.294914,postSTORM
scaffold1,3350000,324,-0.782863,STORM,scaffold1,3350000,343,-0.81364,postSTORM
scaffold1,3375000,283,-0.683118,STORM,scaffold1,3375000,324,-0.835792,postSTORM
scaffold1,3400000,321,-0.489283,STORM,scaffold1,3400000,348,-0.510577,postSTORM
scaffold1,3425000,315,-0.403214,STORM,scaffold1,3425000,351,-0.708304,postSTORM
scaffold1,3450000,332,-0.371247,STORM,scaffold1,3450000,341,-0.207804,postSTORM
scaffold1,3475000,259,-0.595967,STORM,scaffold1,3475000,283,-0.773997,postSTORM
scaffold1,3500000,285,-1.16031,STORM,scaffold1,3500000,309,-0.847545,postSTORM
scaffold1,3525000,293,-1.35193,STORM,scaffold1,3525000,318,-1.13892,postSTORM
scaffold1,3550000,236,-0.899728,STORM,scaffold1,3550000,246,-0.769068,postSTORM
scaffold1,3575000,242,-0.816939,STORM,scaffold1,3575000,279,-0.973606,postSTORM
scaffold1,3600000,260,-0.460559,STORM,scaffold1,3600000,293,-0.661933,postSTORM
scaffold1,3625000,264,-0.55863,STORM,scaffold1,3625000,303,-0.736501,postSTORM
scaffold1,3650000,252,-0.50242,STORM,scaffold1,3650000,274,-0.657918,postSTORM
scaffold1,3675000,310,-0.701824,STORM,scaffold1,3675000,378,-0.979716,postSTORM
scaffold1,3700000,274,-0.648311,STORM,scaffold1,3700000,301,-0.823132,postSTORM
scaffold1,3725000,261,-0.431074,STORM,scaffold1,3725000,287,-0.53148,postSTORM
scaffold1,3750000,236,-0.31963,STORM,scaffold1,3750000,255,-0.455272,postSTORM
scaffold1,3775000,246,-1.31033,STORM,scaffold1,3775000,259,-1.35018,postSTORM
scaffold1,3800000,245,-1.15272,STORM,scaffold1,3800000,237,-1.01411,postSTORM
scaffold1,3825000,228,-0.629273,STORM,scaffold1,3825000,259,-0.731726,postSTORM
scaffold1,3850000,233,-1.00954,STORM,scaffold1,3850000,291,-1.39436,postSTORM
scaffold1,3875000,290,-0.771332,STORM,scaffold1,3875000,380,-1.18324,postSTORM
scaffold1,3900000,279,-1.05294,STORM,scaffold1,3900000,362,-1.34511,postSTORM
scaffold1,3925000,286,-0.159868,STORM,scaffold1,3925000,360,-0.758416,postSTORM
scaffold1,3950000,346,-1.2252,STORM,scaffold1,3950000,371,-1.2145,postSTORM
scaffold1,3975000,361,-0.694697,STORM,scaffold1,3975000,406,-0.839557,postSTORM
scaffold1,4000000,360,-0.868272,STORM,scaffold1,4000000,427,-1.22212,postSTORM
scaffold1,4025000,317,-1.56641,STORM,scaffold1,4025000,360,-1.71988,postSTORM
scaffold1,4050000,206,-0.970859,STORM,scaffold1,4050000,231,-1.17632,postSTORM
scaffold1,4075000,140,-0.838421,STORM,scaffold1,4075000,178,-1.39084,postSTORM
scaffold1,4100000,249,-0.955853,STORM,scaffold1,4100000,292,-1.03082,postSTORM
scaffold1,4125000,221,-0.598845,STORM,scaffold1,4125000,268,-0.783153,postSTORM
scaffold1,4150000,252,-0.569177,STORM,scaffold1,4150000,287,-0.719112,postSTORM
scaffold1,4175000,236,-1.07532,STORM,scaffold1,4175000,241,-0.918814,postSTORM
scaffold1,4200000,252,-0.937708,STORM,scaffold1,4200000,265,-0.930055,postSTORM
scaffold1,4225000,214,-1.29329,STORM,scaffold1,4225000,249,-1.4228,postSTORM
scaffold1,4250000,140,-1.00369,STORM,scaffold1,4250000,192,-1.50614,postSTORM
scaffold1,4275000,273,-0.801006,STORM,scaffold1,4275000,344,-1.08125,postSTORM
scaffold1,4300000,225,-0.790005,STORM,scaffold1,4300000,263,-1.07223,postSTORM
scaffold1,4325000,291,-0.51646,STORM,scaffold1,4325000,318,-0.4895,postSTORM
scaffold1,4350000,254,-0.570504,STORM,scaffold1,4350000,276,-0.754375,postSTORM
scaffold1,4375000,354,-0.892552,STORM,scaffold1,4375000,353,-0.72933,postSTORM
scaffold1,4400000,310,-0.577437,STORM,scaffold1,4400000,342,-0.768936,postSTORM
scaffold1,4425000,327,-0.882968,STORM,scaffold1,4425000,364,-1.01842,postSTORM
scaffold1,4450000,223,-0.949486,STORM,scaffold1,4450000,250,-1.13533,postSTORM
scaffold1,4475000,258,-1.17172,STORM,scaffold1,4475000,323,-1.3646,postSTORM
scaffold1,4500000,202,-0.851708,STORM,scaffold1,4500000,290,-1.24704,postSTORM
scaffold1,4525000,211,-0.546706,STORM,scaffold1,4525000,238,-0.665992,postSTORM
scaffold1,4550000,280,-0.966766,STORM,scaffold1,4550000,336,-1.13019,postSTORM
scaffold1,4575000,350,-0.345651,STORM,scaffold1,4575000,410,-0.454769,postSTORM
scaffold1,4600000,381,-0.389444,STORM,scaffold1,4600000,390,-0.329658,postSTORM
scaffold1,4625000,360,-0.994515,STORM,scaffold1,4625000,388,-0.933875,postSTORM
scaffold1,4650000,335,-0.282725,STORM,scaffold1,4650000,434,-0.786685,postSTORM
scaffold1,4675000,290,-0.836608,STORM,scaffold1,4675000,310,-0.93009,postSTORM
scaffold1,4700000,271,-0.743682,STORM,scaffold1,4700000,295,-0.804186,postSTORM
scaffold1,4725000,302,-0.50531,STORM,scaffold1,4725000,333,-0.432395,postSTORM
scaffold1,4750000,254,-0.298027,STORM,scaffold1,4750000,270,-0.193617,postSTORM
scaffold1,4775000,203,-0.988752,STORM,scaffold1,4775000,233,-0.942885,postSTORM
scaffold1,4800000,181,-0.790191,STORM,scaffold1,4800000,217,-1.0579,postSTORM
scaffold1,4825000,158,-0.36784,STORM,scaffold1,4825000,211,-0.839335,postSTORM
scaffold1,4850000,301,-0.680813,STORM,scaffold1,4850000,326,-0.848014,postSTORM
scaffold1,4875000,365,-0.997489,STORM,scaffold1,4875000,404,-1.15338,postSTORM
scaffold1,4900000,338,-1.18617,STORM,scaffold1,4900000,401,-1.29228,postSTORM
scaffold1,4925000,328,-0.160393,STORM,scaffold1,4925000,361,-0.196105,postSTORM
scaffold1,4950000,284,-1.19948,STORM,scaffold1,4950000,317,-1.28636,postSTORM
scaffold1,4975000,366,-0.666086,STORM,scaffold1,4975000,406,-0.77843,postSTORM
scaffold1,5000000,403,-0.701763,STORM,scaffold1,5000000,422,-0.712072,postSTORM
scaffold1,5025000,418,-1.10141,STORM,scaffold1,5025000,397,-0.935608,postSTORM
scaffold1,5050000,327,-1.58669,STORM,scaffold1,5050000,304,-1.14185,postSTORM
scaffold1,5075000,347,-0.862747,STORM,scaffold1,5075000,339,-0.58053,postSTORM
scaffold1,5100000,282,-0.760364,STORM,scaffold1,5100000,321,-0.901641,postSTORM
scaffold1,5125000,345,-0.944464,STORM,scaffold1,5125000,311,-0.559905,postSTORM
scaffold1,5150000,276,-0.807552,STORM,scaffold1,5150000,273,-0.675119,postSTORM
scaffold1,5175000,322,-0.943299,STORM,scaffold1,5175000,302,-0.620728,postSTORM
scaffold1,5200000,329,-0.638057,STORM,scaffold1,5200000,341,-0.640623,postSTORM
scaffold1,5225000,260,-0.935528,STORM,scaffold1,5225000,258,-0.687674,postSTORM
scaffold1,5250000,297,-1.00777,STORM,scaffold1,5250000,317,-0.932688,postSTORM
scaffold1,5275000,259,-0.672681,STORM,scaffold1,5275000,304,-0.988211,postSTORM
scaffold1,5300000,287,-0.793599,STORM,scaffold1,5300000,298,-0.814797,postSTORM
scaffold1,5325000,235,-0.93214,STORM,scaffold1,5325000,244,-0.948377,postSTORM
scaffold1,5350000,298,-0.559843,STORM,scaffold1,5350000,279,-0.224908,postSTORM
scaffold1,5375000,289,-0.379973,STORM,scaffold1,5375000,288,-0.267566,postSTORM
scaffold1,5400000,286,-0.541744,STORM,scaffold1,5400000,321,-0.649096,postSTORM
scaffold1,5425000,285,-0.635326,STORM,scaffold1,5425000,315,-0.655274,postSTORM
scaffold1,5450000,240,-0.505563,STORM,scaffold1,5450000,264,-0.517516,postSTORM
scaffold1,5475000,218,-0.693654,STORM,scaffold1,5475000,247,-0.615795,postSTORM
scaffold1,5500000,247,-1.31126,STORM,scaffold1,5500000,210,-0.722287,postSTORM
scaffold1,5525000,284,-1.23768,STORM,scaffold1,5525000,246,-0.682992,postSTORM
scaffold1,5550000,220,-1.15896,STORM,scaffold1,5550000,229,-1.11224,postSTORM
scaffold1,5575000,278,-0.163547,STORM,scaffold1,5575000,299,-0.156094,postSTORM
scaffold1,5600000,180,-0.445519,STORM,scaffold1,5600000,200,-0.643255,postSTORM
scaffold1,5625000,209,-0.485654,STORM,scaffold1,5625000,228,-0.555437,postSTORM
scaffold1,5650000,202,-1.38953,STORM,scaffold1,5650000,181,-0.864064,postSTORM
scaffold1,5675000,270,-1.51724,STORM,scaffold1,5675000,257,-1.33776,postSTORM
scaffold1,5700000,262,-0.802377,STORM,scaffold1,5700000,283,-0.833935,postSTORM
scaffold1,5725000,280,-0.745942,STORM,scaffold1,5725000,304,-0.697949,postSTORM
scaffold1,5750000,269,-1.05827,STORM,scaffold1,5750000,294,-1.15168,postSTORM
scaffold1,5775000,282,-0.471828,STORM,scaffold1,5775000,302,-0.422582,postSTORM
scaffold1,5800000,242,-0.788379,STORM,scaffold1,5800000,279,-0.84803,postSTORM
scaffold1,5825000,296,-1.14257,STORM,scaffold1,5825000,223,-0.746554,postSTORM
scaffold1,5850000,314,-0.424523,STORM,scaffold1,5850000,276,-0.0379109,postSTORM
scaffold1,5875000,203,-0.99395,STORM,scaffold1,5875000,202,-0.736473,postSTORM
scaffold1,5900000,204,-0.994615,STORM,scaffold1,5900000,221,-1.13255,postSTORM
scaffold1,5925000,208,-0.852137,STORM,scaffold1,5925000,232,-0.946618,postSTORM
scaffold1,5950000,250,-0.642791,STORM,scaffold1,5950000,284,-0.737651,postSTORM
scaffold1,5975000,237,-1.01121,STORM,scaffold1,5975000,256,-1.17652,postSTORM
scaffold1,6000000,244,-0.734355,STORM,scaffold1,6000000,277,-0.659752,postSTORM
scaffold1,6025000,288,-0.905535,STORM,scaffold1,6025000,324,-0.773741,postSTORM
scaffold1,6050000,278,-0.559342,STORM,scaffold1,6050000,280,-0.513129,postSTORM
scaffold1,6075000,298,-0.224627,STORM,scaffold1,6075000,320,-0.31302,postSTORM
scaffold1,6100000,279,-0.327706,STORM,scaffold1,6100000,285,-0.374811,postSTORM
scaffold1,6125000,233,-0.956012,STORM,scaffold1,6125000,227,-0.959897,postSTORM
scaffold1,6150000,208,-1.03432,STORM,scaffold1,6150000,222,-1.19242,postSTORM
scaffold1,6175000,214,-1.00682,STORM,scaffold1,6175000,224,-0.999138,postSTORM
scaffold1,6200000,243,-0.774713,STORM,scaffold1,6200000,250,-0.800495,postSTORM
scaffold1,6225000,254,-0.0884467,STORM,scaffold1,6225000,265,-0.332746,postSTORM
scaffold1,6250000,232,-0.596683,STORM,scaffold1,6250000,247,-0.354715,postSTORM
scaffold1,6275000,220,-0.79922,STORM,scaffold1,6275000,235,-0.773521,postSTORM
scaffold1,6300000,226,0.069813,STORM,scaffold1,6300000,230,0.145797,postSTORM
scaffold1,6325000,172,-0.767811,STORM,scaffold1,6325000,213,-1.18984,postSTORM
scaffold1,6350000,230,0.314833,STORM,scaffold1,6350000,259,0.135401,postSTORM
scaffold1,6375000,170,-0.507308,STORM,scaffold1,6375000,206,-0.968054,postSTORM
scaffold1,6400000,250,-0.238097,STORM,scaffold1,6400000,277,-0.412013,postSTORM
scaffold1,6425000,267,0.202709,STORM,scaffold1,6425000,346,-0.538698,postSTORM
scaffold1,6450000,239,0.0986649,STORM,scaffold1,6450000,342,-0.713066,postSTORM
scaffold1,6475000,243,0.0971561,STORM,scaffold1,6475000,352,-0.761116,postSTORM
scaffold1,6500000,282,-0.230134,STORM,scaffold1,6500000,328,-0.366875,postSTORM
scaffold1,6525000,242,-0.476888,STORM,scaffold1,6525000,253,-0.432653,postSTORM
scaffold1,6550000,265,-0.670199,STORM,scaffold1,6550000,278,-0.64768,postSTORM
scaffold1,6575000,250,-1.06564,STORM,scaffold1,6575000,287,-1.08254,postSTORM
scaffold1,6600000,292,-1.11929,STORM,scaffold1,6600000,297,-1.21542,postSTORM
scaffold1,6625000,267,-0.881871,STORM,scaffold1,6625000,272,-0.84175,postSTORM
scaffold1,6650000,235,-0.764435,STORM,scaffold1,6650000,223,-0.663855,postSTORM
scaffold1,6675000,196,-0.972447,STORM,scaffold1,6675000,216,-1.15804,postSTORM
scaffold1,6700000,184,-0.0140831,STORM,scaffold1,6700000,198,-0.170133,postSTORM
scaffold1,6725000,192,-0.33112,STORM,scaffold1,6725000,210,-0.55228,postSTORM
scaffold1,6750000,328,-0.516367,STORM,scaffold1,6750000,329,-0.388955,postSTORM
scaffold1,6775000,303,-0.641653,STORM,scaffold1,6775000,318,-0.571622,postSTORM
scaffold1,6800000,265,-1.01867,STORM,scaffold1,6800000,230,-0.623709,postSTORM
scaffold1,6825000,292,-0.861545,STORM,scaffold1,6825000,257,-0.352882,postSTORM
scaffold1,6850000,314,-0.970584,STORM,scaffold1,6850000,309,-0.79901,postSTORM
scaffold1,6875000,206,-1.1488,STORM,scaffold1,6875000,250,-1.15475,postSTORM
scaffold1,6900000,233,-0.721725,STORM,scaffold1,6900000,267,-0.535561,postSTORM
scaffold1,6925000,303,-1.28456,STORM,scaffold1,6925000,342,-1.37313,postSTORM
scaffold1,6950000,241,-1.06605,STORM,scaffold1,6950000,267,-1.21905,postSTORM
scaffold1,6975000,301,-0.110774,STORM,scaffold1,6975000,355,-0.404408,postSTORM
scaffold1,7000000,321,-0.895931,STORM,scaffold1,7000000,372,-1.16422,postSTORM
scaffold1,7025000,285,-1.1552,STORM,scaffold1,7025000,333,-1.32113,postSTORM
scaffold1,7050000,288,-0.667276,STORM,scaffold1,7050000,341,-0.952658,postSTORM
scaffold1,7075000,317,-0.314104,STORM,scaffold1,7075000,322,-0.275865,postSTORM
scaffold1,7100000,341,0.0869648,STORM,scaffold1,7100000,357,0.29957,postSTORM
scaffold1,7125000,317,-1.00282,STORM,scaffold1,7125000,325,-0.829309,postSTORM
scaffold1,7150000,332,-1.06063,STORM,scaffold1,7150000,362,-1.17205,postSTORM
scaffold1,7175000,348,-0.866998,STORM,scaffold1,7175000,357,-0.957103,postSTORM
scaffold1,7200000,329,-1.1377,STORM,scaffold1,7200000,343,-1.02097,postSTORM
scaffold1,7225000,310,-0.939436,STORM,scaffold1,7225000,311,-0.970103,postSTORM
scaffold1,7250000,243,-0.754036,STORM,scaffold1,7250000,256,-0.813065,postSTORM
scaffold1,7275000,202,-0.630194,STORM,scaffold1,7275000,214,-0.512842,postSTORM
scaffold1,7300000,259,-0.426542,STORM,scaffold1,7300000,277,-0.628544,postSTORM
scaffold1,7325000,240,-0.664818,STORM,scaffold1,7325000,250,-0.546366,postSTORM
scaffold1,7350000,220,-0.33453,STORM,scaffold1,7350000,254,-0.630862,postSTORM
scaffold1,7375000,243,-0.460811,STORM,scaffold1,7375000,282,-0.640926,postSTORM
scaffold1,7400000,235,-0.560817,STORM,scaffold1,7400000,271,-0.76611,postSTORM
scaffold1,7425000,191,-0.685138,STORM,scaffold1,7425000,208,-0.792181,postSTORM
scaffold1,7450000,250,-0.907465,STORM,scaffold1,7450000,297,-0.930773,postSTORM
scaffold1,7475000,293,-0.918576,STORM,scaffold1,7475000,337,-1.12522,postSTORM
scaffold1,7500000,405,-0.975898,STORM,scaffold1,7500000,436,-1.02889,postSTORM
scaffold1,7525000,284,-0.0827996,STORM,scaffold1,7525000,375,-0.61721,postSTORM
scaffold1,7550000,269,-0.616414,STORM,scaffold1,7550000,298,-0.735893,postSTORM
